sample_id,class_id,class_name,macro_class,season,confidence,split,source,notes,scl,x,y,B04,B03,B02,B05,B06,B07,B08,B8A,B11,B12
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390960.0,3499.0,6942.0,7012.0,2685.5,1252.0,1222.0,1223.0,1143.5,1089.0,1098.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390960.0,3770.0,7002.0,6964.0,2898.5,1293.5,1261.5,1279.0,1162.5,1083.0,1076.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728920.0,7390960.0,4159.0,7186.0,7112.0,3246.5,1430.5,1375.0,1351.0,1191.5,1098.0,1059.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728940.0,7390960.0,4836.0,7686.0,7654.0,3775.0,1554.5,1461.0,1568.5,1245.5,1108.5,1077.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728700.0,7390940.0,2758.0,6518.0,6634.0,2101.0,1137.5,1164.0,1121.5,1111.5,1134.0,1132.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390940.0,2772.0,6574.0,6708.0,2108.5,1129.0,1139.0,1111.0,1079.0,1100.5,1101.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390940.0,2761.0,6600.0,6752.0,2100.0,1116.0,1134.5,1094.5,1073.5,1091.0,1086.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7390940.0,2812.0,6668.0,6812.0,2130.0,1116.0,1127.0,1110.5,1073.5,1090.0,1080.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7390940.0,2853.0,6724.0,6836.0,2178.0,1115.5,1126.5,1110.0,1086.5,1086.0,1083.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728800.0,7390940.0,2937.0,6760.0,6904.0,2226.5,1128.0,1135.5,1117.0,1087.0,1086.0,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390940.0,3044.0,6800.0,6984.0,2301.5,1136.0,1147.5,1131.5,1097.0,1082.5,1079.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390940.0,3160.0,6852.0,7032.0,2405.5,1156.0,1158.0,1157.0,1102.0,1078.5,1091.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390940.0,3393.0,6970.0,7072.0,2552.0,1196.5,1191.5,1181.5,1120.0,1082.5,1074.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390940.0,3553.0,7012.0,7068.0,2724.0,1244.5,1223.0,1222.0,1125.5,1085.0,1091.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390940.0,3852.0,7096.0,7094.0,2950.0,1322.0,1272.5,1293.0,1158.0,1083.0,1087.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728920.0,7390940.0,4362.0,7468.0,7422.0,3337.0,1454.0,1399.5,1393.5,1179.5,1089.0,1068.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728940.0,7390940.0,5220.0,7924.0,7786.0,4061.5,1708.0,1614.0,1702.5,1352.0,1117.0,1080.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728960.0,7390940.0,7020.0,7908.0,7626.0,5678.0,3268.0,3009.0,3730.0,2167.5,1188.0,1130.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728680.0,7390920.0,2745.0,6472.0,6610.0,2090.5,1142.0,1162.5,1117.5,1116.5,1131.0,1132.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728700.0,7390920.0,2750.0,6566.0,6684.0,2117.0,1125.0,1134.0,1117.0,1100.5,1108.5,1112.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390920.0,2752.0,6570.0,6704.0,2101.0,1119.0,1135.5,1104.0,1083.0,1097.5,1099.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390920.0,2791.0,6638.0,6774.0,2113.5,1104.5,1125.5,1100.0,1081.0,1084.0,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7390920.0,2839.0,6694.0,6806.0,2134.5,1109.5,1124.0,1103.0,1072.0,1082.0,1079.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7390920.0,2886.0,6776.0,6900.0,2188.5,1115.5,1129.0,1108.5,1081.5,1086.5,1079.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728800.0,7390920.0,2990.0,6816.0,6962.0,2245.5,1123.0,1138.0,1116.5,1086.5,1083.5,1076.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390920.0,3071.0,6870.0,7044.0,2335.0,1138.5,1144.0,1137.0,1088.5,1083.0,1072.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390920.0,3213.0,6958.0,7134.0,2432.5,1162.5,1165.0,1153.0,1105.5,1083.0,1089.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390920.0,3375.0,7058.0,7166.0,2575.5,1196.0,1188.5,1176.0,1114.0,1081.5,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390920.0,3618.0,7136.0,7152.0,2772.0,1248.5,1221.0,1233.5,1131.5,1080.5,1098.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390920.0,4035.0,7342.0,7302.0,3092.5,1364.0,1296.5,1313.5,1174.5,1083.0,1094.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728920.0,7390920.0,4776.0,7916.0,7864.0,3604.5,1517.0,1434.5,1493.5,1185.0,1091.0,1087.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728940.0,7390920.0,5974.0,8166.0,7952.0,4735.5,2279.5,2139.0,2165.0,1734.0,1135.5,1107.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728960.0,7390920.0,7220.0,7890.0,7626.0,6293.0,3908.0,3640.0,4096.0,2610.5,1166.5,1137.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728980.0,7390920.0,6878.0,7062.0,6698.0,6907.0,4938.0,4844.5,4782.0,3908.0,2031.5,1779.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728660.0,7390900.0,2782.0,6502.0,6602.0,2116.5,1146.5,1161.5,1124.5,1105.0,1141.0,1127.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728680.0,7390900.0,2738.0,6518.0,6666.0,2111.0,1119.0,1149.0,1112.0,1090.0,1106.5,1116.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728700.0,7390900.0,2753.0,6558.0,6680.0,2092.0,1117.0,1120.0,1105.5,1083.0,1093.5,1105.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390900.0,2769.0,6640.0,6760.0,2102.0,1107.5,1116.5,1092.5,1076.5,1091.5,1084.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390900.0,2774.0,6702.0,6794.0,2119.0,1103.5,1118.0,1104.5,1070.0,1082.5,1076.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7390900.0,2867.0,6760.0,6880.0,2161.5,1107.5,1123.5,1102.5,1080.0,1085.5,1077.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728780.0,7390900.0,2928.0,6830.0,6940.0,2209.0,1112.5,1129.5,1113.0,1084.0,1075.5,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728800.0,7390900.0,3006.0,6876.0,7032.0,2270.5,1124.5,1145.5,1116.5,1086.0,1078.0,1076.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390900.0,3109.0,6964.0,7128.0,2370.5,1139.5,1143.0,1136.0,1094.0,1081.5,1069.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390900.0,3315.0,7056.0,7236.0,2481.0,1169.0,1158.0,1156.5,1100.5,1077.5,1087.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390900.0,3443.0,7128.0,7270.0,2611.0,1201.5,1180.5,1180.0,1102.5,1077.0,1083.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390900.0,3749.0,7250.0,7352.0,2815.5,1256.5,1224.5,1236.0,1129.0,1082.5,1094.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390900.0,4324.0,7710.0,7702.0,3255.0,1410.0,1327.5,1372.0,1180.5,1084.5,1090.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728920.0,7390900.0,5334.0,8126.0,8022.0,4034.0,1714.0,1584.5,1704.0,1267.5,1099.5,1095.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728940.0,7390900.0,6958.0,8112.0,7770.0,5599.5,3006.0,2832.5,3385.0,2200.0,1154.5,1114.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728640.0,7390880.0,2828.0,6574.0,6652.0,2169.0,1139.5,1140.5,1129.5,1097.5,1146.0,1138.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728660.0,7390880.0,2812.0,6550.0,6690.0,2140.0,1127.0,1141.5,1108.0,1092.5,1110.5,1102.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728680.0,7390880.0,2785.0,6586.0,6692.0,2121.0,1116.5,1129.0,1108.0,1080.5,1097.5,1101.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728700.0,7390880.0,2778.0,6590.0,6712.0,2097.0,1105.5,1118.5,1101.0,1071.0,1085.5,1098.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390880.0,2798.0,6628.0,6782.0,2107.0,1096.0,1106.0,1092.5,1066.5,1082.0,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390880.0,2834.0,6720.0,6866.0,2133.5,1102.5,1120.5,1096.0,1072.5,1078.5,1074.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728760.0,7390880.0,2904.0,6808.0,6896.0,2190.5,1108.0,1124.5,1102.5,1079.5,1080.5,1072.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728780.0,7390880.0,2967.0,6866.0,6964.0,2248.5,1113.0,1125.5,1108.5,1077.5,1074.5,1074.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728800.0,7390880.0,3055.0,6928.0,7076.0,2307.5,1130.0,1146.0,1120.5,1079.0,1075.0,1069.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390880.0,3156.0,7012.0,7162.0,2397.0,1142.0,1150.0,1137.5,1085.5,1074.5,1070.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390880.0,3326.0,7178.0,7280.0,2527.0,1168.5,1164.0,1160.5,1094.5,1072.0,1072.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390880.0,3536.0,7218.0,7382.0,2664.0,1203.5,1199.5,1190.5,1107.0,1073.0,1081.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390880.0,3929.0,7472.0,7572.0,2958.0,1286.5,1258.5,1261.0,1140.0,1083.0,1083.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390880.0,4688.0,7984.0,7990.0,3520.0,1490.5,1354.0,1462.5,1187.0,1093.5,1095.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728920.0,7390880.0,5976.0,8288.0,8028.0,4698.5,2209.0,2003.0,2173.0,1556.0,1121.0,1121.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728620.0,7390860.0,2838.0,6520.0,6658.0,2151.0,1138.5,1168.0,1133.0,1123.0,1140.0,1140.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728640.0,7390860.0,2817.0,6588.0,6684.0,2174.5,1133.5,1143.5,1114.0,1094.0,1116.0,1106.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728660.0,7390860.0,2843.0,6598.0,6746.0,2152.0,1115.5,1133.5,1115.0,1071.5,1099.5,1097.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728680.0,7390860.0,2830.0,6598.0,6716.0,2141.0,1113.5,1132.5,1092.5,1080.0,1091.0,1098.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728700.0,7390860.0,2820.0,6670.0,6772.0,2142.0,1109.0,1116.5,1100.5,1080.5,1083.5,1091.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390860.0,2851.0,6740.0,6824.0,2149.0,1106.5,1115.5,1093.5,1075.5,1084.5,1078.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728740.0,7390860.0,2871.0,6752.0,6870.0,2175.5,1101.0,1114.5,1092.0,1066.0,1073.5,1071.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728760.0,7390860.0,2929.0,6828.0,6944.0,2218.0,1102.5,1122.5,1108.5,1069.0,1072.5,1066.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728780.0,7390860.0,3022.0,6896.0,7036.0,2285.0,1120.5,1129.0,1118.5,1077.5,1072.5,1075.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728800.0,7390860.0,3120.0,6978.0,7100.0,2347.5,1123.0,1142.0,1123.5,1085.5,1068.5,1066.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390860.0,3252.0,7142.0,7254.0,2451.5,1153.5,1151.0,1147.5,1087.5,1068.5,1064.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390860.0,3478.0,7240.0,7390.0,2612.0,1187.0,1171.5,1170.0,1102.0,1069.0,1068.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390860.0,3674.0,7372.0,7482.0,2791.5,1224.0,1199.5,1211.0,1115.5,1075.5,1077.5
